GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
educacao-gamificada,br.com.educacao.gamificada.event,AlunoPromovidoEvent,0,6,0,0,0,1,0,1,0,1
educacao-gamificada,br.com.educacao.gamificada,EducacaoGamificadaApplication,0,8,0,0,0,3,0,2,0,2
educacao-gamificada,br.com.educacao.gamificada.dto,ConcluirCursoRequest,0,9,0,0,0,1,0,1,0,1
educacao-gamificada,br.com.educacao.gamificada.dto,AlunoResponse,0,37,0,0,0,2,0,2,0,2
educacao-gamificada,br.com.educacao.gamificada.dto,ConclusaoResponse,0,12,0,0,0,1,0,1,0,1
educacao-gamificada,br.com.educacao.gamificada.dto,CriarAlunoRequest,0,6,0,0,0,1,0,1,0,1
educacao-gamificada,br.com.educacao.gamificada.entity,ConclusaoCursoEntity,0,15,0,0,0,6,0,2,0,2
educacao-gamificada,br.com.educacao.gamificada.entity,AlunoEntity,0,58,0,0,0,17,0,10,0,10
educacao-gamificada,br.com.educacao.gamificada.domain,Aluno,0,119,0,24,0,34,0,22,0,10
educacao-gamificada,br.com.educacao.gamificada.domain,Plano,0,15,0,0,0,3,0,1,0,1
educacao-gamificada,br.com.educacao.gamificada.controller,TratamentoErros,0,35,0,0,0,7,0,5,0,5
educacao-gamificada,br.com.educacao.gamificada.controller,AlunoController,0,34,0,0,0,6,0,5,0,5
educacao-gamificada,br.com.educacao.gamificada.service,AlunoService,0,148,0,8,0,25,0,10,0,6
